City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
290,Veraval,20.9,70.3667,78.19,83,1,8.3,IN,1682635895
291,Copala,16.65,-98.9833,84.9,54,1,10.83,MX,1682635895
292,Rabaul,-4.1967,152.1721,82.54,73,22,0.96,PG,1682635895
293,San Agustin,20.5333,-103.4667,90.52,4,40,5.75,MX,1682635895
294,Uvira,-3.4067,29.1458,73.26,87,88,1.9,CD,1682635895
295,Semnan,35.5729,53.3971,63.55,58,100,8.37,IR,1682635635
296,Darazo,10.9938,10.4118,82.62,39,100,7.54,NG,1682635895
297,Hithadhoo,-0.6,73.0833,83.17,77,99,8.52,MV,1682635895
298,Brooks,50.5834,-111.8851,58.98,27,55,13.8,CA,1682635730
299,Neryungri,56.6709,124.6491,25.75,76,27,0.74,RU,1682635896
300,Chita,52.0333,113.55,28.29,59,21,0.0,RU,1682635626
301,Santa Terezinha,-29.9002,-50.0904,65.34,77,7,7.07,BR,1682635896
302,Eyl,7.9803,49.8164,78.39,78,100,6.26,SO,1682635896
303,Geraldton,-28.7667,114.6,50.41,81,0,11.5,AU,1682635896
304,Nagqu,31.5,92.0,28.63,87,100,4.47,CN,1682635896
305,Suva,-18.1416,178.4415,85.48,74,40,6.91,FJ,1682635897
306,Carutapera,-1.195,-46.02,75.51,93,91,4.12,BR,1682635897
307,Brisas De Zicatela,15.8369,-97.0419,86.52,70,20,11.5,MX,1682635897
308,Jinchang,38.4953,102.1739,35.67,24,53,16.73,CN,1682635897
309,La Sarre,48.8002,-79.1996,43.48,73,100,9.04,CA,1682635897
310,Dawei,14.0833,98.2,77.47,87,12,2.19,MM,1682635897
311,Castillos,-34.1667,-53.8333,59.09,88,7,6.42,UY,1682635897
312,Ellettsville,39.2339,-86.625,66.7,39,100,10.36,US,1682635897
313,Gadzhiyevo,69.2551,33.3362,23.95,85,17,11.65,RU,1682635898
314,Shizuishan,39.2333,106.7694,41.43,26,90,38.16,CN,1682635898
315,Valparaiso,-33.0393,-71.6273,60.44,82,100,6.91,CL,1682635898
316,Voskresenskoye,56.8381,45.4317,46.72,95,1,2.17,RU,1682635898
317,Callao,-12.0667,-77.15,78.71,69,75,13.8,PE,1682635824
318,Saint-Philippe,-21.3585,55.7679,69.39,81,48,10.16,RE,1682635898
319,Ust'-Barguzin,53.45,108.9833,29.59,89,71,1.97,RU,1682635898
320,Meulaboh,4.1363,96.1285,76.6,88,99,2.33,ID,1682635898
321,Aqadyr,48.2553,72.8483,53.22,35,6,6.58,KZ,1682635899
322,Canavieiras,-15.675,-38.9472,75.25,80,0,5.41,BR,1682635899
323,Alo,7.4178,6.7371,76.12,85,100,0.54,NG,1682635899
324,Chinde,26.8418,88.0763,60.91,38,10,5.91,NP,1682635899
325,Nanzhou,29.3596,112.4024,64.74,91,99,2.89,CN,1682635899
326,Yeniseysk,58.4497,92.1703,35.38,98,100,5.88,RU,1682635899
327,Nova Sintra,14.8667,-24.7167,67.82,79,17,21.27,CV,1682635899
328,Hola,51.5377,23.1902,41.18,84,37,5.86,PL,1682635899
329,Hami,42.8,93.45,45.93,15,8,9.57,CN,1682635900
330,Ust-Nera,64.5667,143.2,25.97,83,24,1.79,RU,1682635900
331,Rizokarpaso,35.6,34.375,62.17,78,17,7.14,CY,1682635900
332,Enewetak,11.3474,162.3373,80.64,80,47,21.16,MH,1682635900
333,Mejit,10.2753,170.8646,81.45,80,64,17.4,MH,1682635900
334,City Of Balikpapan,-1.242,116.8942,80.55,89,20,4.61,ID,1682635900
335,Sorong,-0.8833,131.25,80.11,83,87,3.76,ID,1682635901
336,Tindouf,27.6711,-8.1474,90.05,11,0,6.91,DZ,1682635901
337,Juan De Ayolas,-27.4,-56.9,65.46,73,7,4.74,PY,1682635901
338,East London,-33.0153,27.9116,68.95,69,95,7.14,ZA,1682635901
339,Port Saint John'S,-31.6229,29.5448,70.25,86,56,7.18,ZA,1682635901
340,Haiku-Pauwela,20.9219,-156.3051,76.17,82,75,12.66,US,1682635901
341,Worland,44.0169,-107.9554,48.88,52,20,32.21,US,1682635893
342,Santa Ana,33.7456,-117.8678,90.72,60,40,10.36,US,1682635716
343,Socorro,31.6546,-106.3033,84.06,9,8,14.23,US,1682635902
344,La Passe,45.5549,-0.8967,59.23,90,98,3.69,FR,1682635902
345,Rawlins,41.7911,-107.2387,40.89,81,75,24.16,US,1682635902
346,Seven Pagodas,12.6264,80.1722,86.05,78,47,6.11,IN,1682635902
347,Nurota,40.5614,65.6886,60.15,29,0,1.77,UZ,1682635902
348,Meraux,29.933,-89.9498,86.0,62,20,10.36,US,1682635902
349,Cedeira,43.6797,-8.0209,58.39,86,100,3.4,ES,1682635902
350,Klyuchi,52.2667,79.1667,56.32,54,72,9.37,RU,1682635903
351,Nazca,-14.8333,-74.95,76.91,61,5,5.26,PE,1682635903
352,Riverton,40.5219,-111.9391,72.91,26,88,18.99,US,1682635903
353,Bassar,9.25,0.7833,76.53,76,99,4.47,TG,1682635903
